7
0,220.830124,178.701752,57.423233,276.037476,188.077408,93.517006,302.279449,162.897202,80.396179,309.207947,134.384232,79.526405
0,260.162537,221.809372,69.988129,336.030609,197.980118,108.235550,372.227600,141.775024,91.513367,452.477142,111.598419,92.109612
0,359.235413,305.176849,117.546700,365.078949,252.138336,153.514023,334.059143,169.564453,106.011086,260.497681,119.556732,89.092537
1,47.512962,54.422779,5.209540,96.473457,115.381737,24.249802,118.841637,169.805893,48.953899,121.216026,242.564636,64.018715
1,19.970264,20.617020,1.337146,50.582958,55.577797,8.147861,76.934921,97.307678,25.593603,93.099922,144.830719,40.268604
1,91.021088,92.766541,19.095852,141.429016,144.005905,48.356407,170.922363,168.662994,64.573975,156.066772,160.969269,74.527435
2,197.320236,164.265823,52.251053,270.565857,197.153061,88.752098,344.956787,225.826736,100.559357,270.628174,232.242599,130.467422
2,240.317108,216.061401,46.878597,473.970490,394.621735,98.837181,870.796387,630.310730,182.921814,1305.054565,815.612244,391.730347
2,269.180603,202.770157,70.665749,350.527222,239.354828,108.951141,385.827057,263.981812,126.606400,262.913513,219.008621,152.427536
2,361.763580,219.879333,76.014046,589.126709,322.029175,136.989716,825.687622,425.854584,199.218796,859.479980,435.960541,308.888245
3,617.867676,307.504883,187.661087,573.613525,255.761475,191.740204,401.725861,199.807465,142.286545,159.222244,124.024910,106.481712
3,347.305695,333.471436,141.384613,351.810577,357.059875,163.609818,343.779846,394.430969,146.082657,291.154816,365.109009,185.892685
4,60.580425,42.475101,11.823892,59.221291,54.369263,25.830849,33.385586,45.725037,22.518316,18.173994,34.805012,16.185328
4,30.838921,18.575867,2.430884,61.577370,41.448235,11.331789,61.334061,51.544296,25.334808,35.261005,41.878830,21.277962
4,19.122383,18.765541,2.485150,33.825867,38.785316,9.704268,32.089264,52.470371,16.815374,20.448856,50.238823,18.176081
5,23.579472,285.458527,9.917100,34.219009,415.971558,29.859880,36.509369,366.289886,38.242088,31.171009,251.912506,37.114407
5,3.604786,11.631145,2.841267,1.888424,9.068594,2.300057,0.917810,5.613396,1.065583,0.555795,4.161947,0.606613
5,4.435275,20.310135,1.066371,8.315530,48.527988,3.255513,10.484824,74.447113,7.744899,13.895912,50.369057,9.187804
5,5.845714,22.648842,4.255378,3.543362,26.203184,2.850830,2.664140,24.480846,2.526387,2.018710,17.763763,2.356112
5,2.782299,15.326424,0.929153,4.152729,24.618450,2.164004,4.949355,37.689209,3.041247,5.152999,54.222912,3.350864
6,88.956863,79.507874,17.263721,165.821793,146.618210,38.118935,269.956757,241.070877,73.689751,341.770966,324.441772,136.766510
6,110.817673,104.947083,20.424450,210.429718,205.688889,46.249390,372.799286,358.458801,90.361092,527.624329,456.110352,193.384201
